,row,CUI Part,CUI Series,status,RECOM series,RECOM Series matches,vin_min,vin_max,vout_1,vout_2,isolation,num_outputs,RECOM_Artikelnummer,RECOM_Bezeichnung 1,RECOM_Inputvoltage,RECOM_Outputvoltage,RECOM_Isolation,RECOM_ProductgroupBezeichnung,score
0,2,PCN2-S5-D15-S,pcn2-s,,RKZE,113,4.5,5.5,15.0,-15.0,1000.0,2.0,10019106,RKZE-0515D,05,+/-15,3KV,RKZE,4.0
1,2,PCN2-S5-D15-S,pcn2-s,,RKZE,113,4.5,5.5,15.0,-15.0,1000.0,2.0,10019107,RKZE-0515D/H,05,+/-15,4KV,RKZE,4.0
2,2,PCN2-S5-D15-S,pcn2-s,,RKZE,113,4.5,5.5,15.0,-15.0,1000.0,2.0,10019108,RKZE-0515D/P,05,+/-15,3KV,RKZE,4.0
3,2,PCN2-S5-D15-S,pcn2-s,,RKZE,113,4.5,5.5,15.0,-15.0,1000.0,2.0,10019109,RKZE-0515D/HP,05,+/-15,4KV,RKZE,4.0
4,3,PCN2-S5-D12-S,pcn2-s,,RKZE,113,4.5,5.5,12.0,-12.0,1000.0,2.0,10019090,RKZE-0512D,05,+/-12,3KV,RKZE,4.0
5,3,PCN2-S5-D12-S,pcn2-s,,RKZE,113,4.5,5.5,12.0,-12.0,1000.0,2.0,10019091,RKZE-0512D/H,05,+/-12,4KV,RKZE,4.0
6,3,PCN2-S5-D12-S,pcn2-s,,RKZE,113,4.5,5.5,12.0,-12.0,1000.0,2.0,10019092,RKZE-0512D/P,05,+/-12,3KV,RKZE,4.0
7,3,PCN2-S5-D12-S,pcn2-s,,RKZE,113,4.5,5.5,12.0,-12.0,1000.0,2.0,10019093,RKZE-0512D/HP,05,+/-12,4KV,RKZE,4.0
8,4,PCN2-S5-D5-S,pcn2-s,,RKZE,113,4.5,5.5,5.0,-5.0,1000.0,2.0,10019074,RKZE-0505D,05,+/-05,3KV,RKZE,4.0
9,4,PCN2-S5-D5-S,pcn2-s,,RKZE,113,4.5,5.5,5.0,-5.0,1000.0,2.0,10019075,RKZE-0505D/H,05,+/-05,4KV,RKZE,4.0
10,4,PCN2-S5-D5-S,pcn2-s,,RKZE,113,4.5,5.5,5.0,-5.0,1000.0,2.0,10019076,RKZE-0505D/P,05,+/-05,3KV,RKZE,4.0
11,4,PCN2-S5-D5-S,pcn2-s,,RKZE,113,4.5,5.5,5.0,-5.0,1000.0,2.0,10019077,RKZE-0505D/HP,05,+/-05,4KV,RKZE,4.0
12,5,PCN2-S5-S15-S,pcn2-s,,RKZE,113,4.5,5.5,15.0,,1000.0,1.0,10019058,RKZE-0515S,05,15,3KV,RKZE,4.0
13,5,PCN2-S5-S15-S,pcn2-s,,RKZE,113,4.5,5.5,15.0,,1000.0,1.0,10019059,RKZE-0515S/H,05,15,4KV,RKZE,4.0
14,5,PCN2-S5-S15-S,pcn2-s,,RKZE,113,4.5,5.5,15.0,,1000.0,1.0,10019060,RKZE-0515S/P,05,15,3KV,RKZE,4.0
15,5,PCN2-S5-S15-S,pcn2-s,,RKZE,113,4.5,5.5,15.0,,1000.0,1.0,10019061,RKZE-0515S/HP,05,15,4KV,RKZE,4.0
16,6,PCN2-S5-S12-S,pcn2-s,,RKZE,113,4.5,5.5,12.0,,1000.0,1.0,10019042,RKZE-0512S,05,12,3KV,RKZE,4.0
